trait_type,value,count,pct
Body,firefighter,77,6.93
Body,wizard,76,6.84
Body,chef,76,6.84
Body,tracksuit,76,6.84
Body,spacesuit,76,6.84
Body,detective,75,6.75
Body,varsity,75,6.75
Body,cowboy,74,6.66
Body,tuxedo,74,6.66
Body,pajama,73,6.57
Body,king,73,6.57
Body,hazmat,73,6.57
Body,puffer,72,6.48
Body,street,71,6.39
Body,baller,70,6.3
Eyes,classic,1111,100.0
Background,near-black,58,5.22
Background,lavender,58,5.22
Background,dark-navy,58,5.22
Background,magenta,57,5.13
Background,teal,56,5.04
Background,mustard,56,5.04
Background,burnt-orange,56,5.04
Background,steel,56,5.04
Background,seafoam,56,5.04
Background,plum,56,5.04
Background,coral,56,5.04
Background,mint,55,4.95
Background,midnight-purple,55,4.95
Background,deep-red,55,4.95
Background,sky-blue,55,4.95
Background,warm-sand,54,4.86
Background,bubblegum,54,4.86
Background,cocoa,54,4.86
Background,sunflower,54,4.86
Background,forest-green,52,4.68
